geom_x_y;genre;espece;adresse;idbase;typeemplacement;domanialite;arrondissement;complementadresse;numero;idemplacement;circonferenceencm;hauteurenm;stadedeveloppement;pepiniere;varieteoucultivar;dateplantation;remarquable;objectid;libellefrancais
48.8578387601,2.29331873957;Platanus;x hispanica;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / SETE;108095.0;Arbre;Jardin;PARIS 7E ARRDT;Canton 01 / SETE;;P00108001;695.0;27.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;90947;Platane
48.847146744,2.25198353717;Pterocarya;stenoptera;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136310.0;Arbre;Jardin;PARIS 16E ARRDT;;;00040026;560.0;30.0;M;Inconnue;;1905-01-01T00:09:21+00:00;1;107665;Pterocarya
48.8856292413,2.34379244341;Punica;granatum;SQUARE LOUISE MICHEL;125087.0;Arbre;Jardin;PARIS 18E ARRDT;;;00001160;30.0;3.0;A;Inconnue;;1952-01-01T01:00:00+00:00;1;144876;Grenadier
48.8471733403,2.25286614408;Quercus;suber subsp. Occidentalis;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136338.0;Arbre;Jardin;PARIS 16E ARRDT;;;00040054;217.0;11.0;M;Inconnue;;1895-01-01T00:09:21+00:00;1;154186;Chêne
48.8564741998,2.39461847904;Platanus;x hispanica;BOULEVARD DE CHARONNE;223748.0;Arbre;Alignement;PARIS 20E ARRDT;148;;001802036;407.0;23.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;213968;Platane
48.8277560491,2.35926764063;Cedrus;libani;SQUARE DE CHOISY;106181.0;Arbre;Jardin;PARIS 13E ARRDT;13-03;;00000357;351.0;25.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;224606;Cèdre
48.8578670722,2.34811930339;Morus;alba;SQUARE DE LA TOUR SAINT JACQUES / 1 BIS RUE SAINT MARTIN;123848.0;Arbre;Jardin;PARIS 4E ARRDT;;;000103001;105.0;7.0;A;Inconnue;;2009-01-01T01:00:00+00:00;1;230535;Mûrier
48.8323392302,2.41144640633;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;2002364.0;Arbre;Jardin;BOIS DE VINCENNES;12-11;;12-11;397.0;40.0;M;Inconnue;;1860-01-01T00:09:21+00:00;1;18698;Platane
48.8292532091,2.41318205865;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL;2002357.0;Arbre;Jardin;BOIS DE VINCENNES;12-30;;12-30;504.0;27.0;M;Inconnue;;1871-01-01T00:09:21+00:00;1;55542;Platane
48.852346005,2.35182356011;Tamarix;n. sp.;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;125051.0;Arbre;Jardin;PARIS 4E ARRDT;;;00000059;230.0;3.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;66455;Tamaris
